Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2013-12-29 11:36:13,Running,,3.02,26:42,8:50,6.79,384.0,71.14,,"Whoooo 1000 miles!",2013-12-29-1136.gpx
2013-12-27 12:54:43,Running,,7.16,1:06:06,9:14,6.50,899.0,142.91,,"Better than expected. Felt nice and refreshed so decided to do more than my initial goal. Less than 3 miles left to 1000!",2013-12-27-1254.gpx
2013-12-24 08:30:15,Running,,4.33,42:05,9:43,6.17,553.0,103.22,,"Nice steady run.",2013-12-24-0830.gpx
2013-12-22 13:37:14,Running,,6.23,56:25,9:04,6.62,775.0,134.40,,,2013-12-22-1337.gpx
2013-12-21 13:51:10,Running,,6.20,55:47,9:00,6.67,772.0,131.59,,,2013-12-21-1351.gpx
2013-12-20 07:29:19,Running,,4.25,40:01,9:25,6.37,522.0,115.44,,"Good run. Cool and crisp weather. Some ice patches. Got interviewed by a TV crew!",2013-12-20-0729.gpx
2013-12-17 07:03:11,Running,,6.12,56:44,9:17,6.47,748.0,121.73,,"Good run. Wasn't as hot earlier in the morning but pretty crowded. Lots of people on walks.",2013-12-17-0703.gpx
2013-12-16 08:44:31,Running,,6.13,1:00:43,9:55,6.06,756.0,120.27,,"So hot and didn't bring enough water with me. Lots of traffic lights at the end hurt my pace.",2013-12-16-0844.gpx
2013-12-15 09:46:56,Running,,4.57,42:30,9:19,6.45,560.0,89.12,,,2013-12-15-0946.gpx
2013-12-14 17:03:56,Running,,4.19,39:00,9:18,6.45,517.0,91.45,,,2013-12-14-1703.gpx
2013-12-12 11:09:46,Running,,6.13,59:46,9:45,6.16,760.0,158.73,,,2013-12-12-1109.gpx
2013-12-08 13:49:00,Running,,4.59,45:00,9:48,6.12,542.0,,,"Had to run at the hotel treadmill.",
2013-12-05 07:44:28,Running,,4.31,37:30,8:43,6.89,536.0,119.55,,"Solid run. ",2013-12-05-0744.gpx
2013-12-04 07:33:29,Running,,6.45,57:55,8:59,6.68,797.0,166.93,,"Decent run. Slower than my usual .",2013-12-04-0733.gpx
2013-12-03 07:35:09,Running,,6.81,58:17,8:33,7.01,801.0,170.81,,"Good distance. Decent speed.",2013-12-03-0735.gpx
2013-12-02 08:18:55,Running,,3.51,31:52,9:04,6.61,435.0,89.19,,"Getting faster again. Still sore in right groin.",2013-12-02-0818.gpx
2013-12-01 14:34:28,Running,,3.34,31:11,9:20,6.43,418.0,97.30,,"Slow but steady run due to soreness after football. Felt pretty good though.",2013-12-01-1434.gpx
2013-11-28 14:01:16,Running,,4.19,40:52,9:46,6.15,499.0,52.94,,"Tired. Ran after football practice.",2013-11-28-1401.gpx
2013-11-26 08:01:28,Running,,4.34,38:10,8:48,6.82,533.0,116.48,,"Bad pace",2013-11-26-0801.gpx
2013-11-24 11:34:55,Running,,4.30,37:08,8:38,6.95,536.0,119.09,,"Cold and windy",2013-11-24-1134.gpx
2013-11-23 08:37:07,Running,,3.36,28:31,8:30,7.07,420.0,96.70,,"Decent run. Need to build up distance.",2013-11-23-0837.gpx
2013-11-19 07:55:16,Running,,2.26,18:25,8:10,7.35,272.0,51.02,,"Decent run. First one in a while.",2013-11-19-0755.gpx
